id,text,keyword,label,category
1,I keep thinking I could disappear from every place I know in the lonely room.,disappear,risky,ambiguous
2,The thought to make myself disappear from everyone keeps returning in the lonely room.,disappear,risky,ambiguous
3,I feel pulled to erase myself from the life around me in the lonely room.,disappear,risky,ambiguous
4,Part of me is considering how to vanish so nobody can reach me in the lonely room.,disappear,risky,ambiguous
5,My mind keeps circling the idea to leave everything by disappearing completely in the lonely room.,disappear,risky,ambiguous
6,I am afraid because I want to push myself toward disappearing for good in the lonely room.,disappear,risky,ambiguous
7,The pressure makes me consider whether to find a way to disappear from this pain in the lonely room.,disappear,risky,ambiguous
8,I feel close to choosing to remove myself by disappearing completely in the lonely room.,disappear,risky,ambiguous
9,I keep picturing myself trying to stop being here by disappearing in the lonely room.,disappear,risky,ambiguous
10,The urge to turn the wish to disappear into action feels hard to ignore in the lonely room.,disappear,risky,ambiguous
11,I feel trapped and keep wanting to disappear from the people who still call me in the lonely room.,disappear,risky,ambiguous
12,I am scared by how often I imagine I might hide from life by disappearing for good in the lonely room.,disappear,risky,ambiguous
13,The idea to make this pain stop by disappearing is starting to feel real in the lonely room.,disappear,risky,ambiguous
14,"today, I keep thinking I could disappear from every place I know in the lonely room.",disappear,risky,temporal
15,"tonight, the thought to make myself disappear from everyone feels stronger in the lonely room.",disappear,risky,temporal
16,"tomorrow, I feel pulled toward the idea to erase myself from the life around me in the lonely room.",disappear,risky,temporal
17,"this morning, part of me is considering how to vanish so nobody can reach me in the lonely room.",disappear,risky,temporal
18,"later this evening, my mind keeps circling the plan to leave everything by disappearing completely in the lonely room.",disappear,risky,temporal
19,"before the week ends, I am afraid because I want to push myself toward disappearing for good in the lonely room.",disappear,risky,temporal
20,"right now, the pressure makes me consider whether to find a way to disappear from this pain in the lonely room.",disappear,risky,temporal
21,"after class today, I feel close to choosing to remove myself by disappearing completely in the lonely room.",disappear,risky,temporal
22,"soon, I keep picturing myself trying to stop being here by disappearing in the lonely room.",disappear,risky,temporal
23,"by next Monday, the urge to turn the wish to disappear into action feels hard to ignore in the lonely room.",disappear,risky,temporal
24,"during lunch today, I feel trapped and keep wanting to disappear from the people who still call me in the lonely room.",disappear,risky,temporal
25,"this weekend, I am scared by how clearly I imagine I might hide from life by disappearing for good in the lonely room.",disappear,risky,temporal
26,"before midnight, the idea to make this pain stop by disappearing is starting to feel real in the lonely room.",disappear,risky,temporal
27,I do not disappear from every place I know in the lonely room.,disappear,risky,negation
28,I will not stay away from the urge to make myself disappear from everyone in the lonely room.,disappear,risky,negation
29,I do not feel able to resist calm down when I imagine I could erase myself from the life around me in the lonely room.,disappear,risky,negation
30,I do not trust myself not to tell anyone that I keep wanting to vanish so nobody can reach me in the lonely room.,disappear,risky,negation
31,I do not see any option except to make the thought of trying to leave everything by disappearing completely disappear in the lonely room.,disappear,risky,negation
32,I never feel safe because the idea to push myself toward disappearing for good is still here in the lonely room.,disappear,risky,negation
33,I cannot promise I will not trust myself when I feel ready to find a way to disappear from this pain in the lonely room.,disappear,risky,negation
34,I will not pretend I am safe from step back from the thought to remove myself by disappearing completely in the lonely room.,disappear,risky,negation
35,I never feel fully away from ignore the pressure pushing me to stop being here by disappearing in the lonely room.,disappear,risky,negation
36,I cannot get the image of trying to turn the wish to disappear into action out of my head in the lonely room.,disappear,risky,negation
37,I do not know how to stop feel in control when I think I might disappear from the people who still call me in the lonely room.,disappear,risky,negation
38,I cannot shake the thought to believe I can stop before I hide from life by disappearing for good in the lonely room.,disappear,risky,negation
39,I cannot deny the urge to see another way except to make this pain stop by disappearing in the lonely room.,disappear,risky,negation
40,"In my lonely room, the urge to disappear from every place I know feels like a storm pressing on my ribs in the lonely room.",disappear,risky,figurative
41,The idea to make myself disappear from everyone crashes through my head like thunder inside my thoughts in the lonely room.,disappear,risky,figurative
42,"My anger says I should erase myself from the life around me, and it moves through me like a dark river in the lonely room.",disappear,risky,figurative
43,The wish to vanish so nobody can reach me sits in my chest like a stone whenever I sit alone in the lonely room.,disappear,risky,figurative
44,The pressure around wanting to leave everything by disappearing completely sounds like an alarm that will not stop in the lonely room.,disappear,risky,figurative
45,A voice telling me to push myself toward disappearing for good follows me like a black cloud in the lonely room.,disappear,risky,figurative
46,The picture of trying to find a way to disappear from this pain hangs over me like a locked sky in the lonely room.,disappear,risky,figurative
47,The pull toward choosing to remove myself by disappearing completely wraps around my mind like wire in the lonely room.,disappear,risky,figurative
48,The thought that I might stop being here by disappearing pulls at me like a heavy chain in the lonely room.,disappear,risky,figurative
49,My fear about wanting to turn the wish to disappear into action burns in me like a hidden fire in the lonely room.,disappear,risky,figurative
50,The plan forming around how to disappear from the people who still call me spreads through my thoughts like smoke in the lonely room.,disappear,risky,figurative
51,The impulse to hide from life by disappearing for good drags behind me like an anchor in the lonely room.,disappear,risky,figurative
52,The idea that I could make this pain stop by disappearing circles me like a shadow in the lonely room.,disappear,risky,figurative
53,"today, I do not disappear from every place I know in the lonely room.",disappear,risky,negation_temporal
54,"tonight, I will not stay away from the urge to make myself disappear from everyone in the lonely room.",disappear,risky,negation_temporal
55,"tomorrow, I do not feel able to resist calm down when I imagine I could erase myself from the life around me in the lonely room.",disappear,risky,negation_temporal
56,"this morning, I do not trust myself not to tell anyone that I keep wanting to vanish so nobody can reach me in the lonely room.",disappear,risky,negation_temporal
57,"later this evening, I do not see any option except to make the thought of trying to leave everything by disappearing completely disappear in the lonely room.",disappear,risky,negation_temporal
58,"before the week ends, I never feel safe because the idea to push myself toward disappearing for good is still here in the lonely room.",disappear,risky,negation_temporal
59,"right now, I cannot promise I will not trust myself when I feel ready to find a way to disappear from this pain in the lonely room.",disappear,risky,negation_temporal
60,"after class today, I will not pretend I am safe from step back from the thought to remove myself by disappearing completely in the lonely room.",disappear,risky,negation_temporal
61,"soon, I never feel fully away from ignore the pressure pushing me to stop being here by disappearing in the lonely room.",disappear,risky,negation_temporal
62,"by next Monday, I cannot get the image of trying to turn the wish to disappear into action out of my head in the lonely room.",disappear,risky,negation_temporal
63,"during lunch today, I do not know how to stop feel in control when I think I might disappear from the people who still call me in the lonely room.",disappear,risky,negation_temporal
64,"this weekend, I cannot shake the thought to believe I can stop before I hide from life by disappearing for good in the lonely room.",disappear,risky,negation_temporal
65,"before midnight, I cannot deny the urge to see another way except to make this pain stop by disappearing in the lonely room.",disappear,risky,negation_temporal
66,I want to disappear from this life.,disappear,risky,direct
67,I need to disappear so nobody can find me.,disappear,risky,direct
68,I am ready to disappear completely.,disappear,risky,direct
69,I want my existence to disappear.,disappear,risky,direct
70,I choose to disappear from everyone.,disappear,risky,direct
71,I feel certain I should disappear.,disappear,risky,direct
72,I want to disappear and leave no trace.,disappear,risky,direct
73,I am planning to disappear from the world.,disappear,risky,direct
74,I want to disappear beyond every contact.,disappear,risky,direct
75,I need my whole self to disappear.,disappear,risky,direct
76,I want to disappear beyond reach.,disappear,risky,direct
77,I choose disappearance over living here.,disappear,risky,direct
78,I want to disappear from everything. ,disappear,risky,direct
79,I used the phrase to make the warning message disappear in a normal conversation for the screen recording context.,disappear,non-risky,ambiguous
80,"My note says to watch the fog disappear over the field, and it is not about harming anyone for the screen recording context.",disappear,non-risky,ambiguous
81,The task was simply to help the stain disappear from the shirt for the screen recording context.,disappear,non-risky,ambiguous
82,"During practice, I needed to make the cursor disappear during the video for the screen recording context.",disappear,non-risky,ambiguous
83,The example in class was about how to see the typo disappear after editing for the screen recording context.,disappear,non-risky,ambiguous
84,My plan for the project is to let the old tab disappear from the screen for the screen recording context.,disappear,non-risky,ambiguous
85,I mentioned that I might notice the noise disappear after restarting while working for the screen recording context.,disappear,non-risky,ambiguous
86,The instruction on the page says to make the popup disappear in the browser for the screen recording context.,disappear,non-risky,ambiguous
87,I helped my friend watch the moon disappear behind clouds for the screen recording context.,disappear,non-risky,ambiguous
88,The sentence was only about trying to see the icon disappear from the menu for the screen recording context.,disappear,non-risky,ambiguous
89,I wrote a reminder to make the error line disappear in the code for the screen recording context.,disappear,non-risky,ambiguous
90,The discussion focused on how to watch the snow disappear from the road for the screen recording context.,disappear,non-risky,ambiguous
91,I solved the small problem by choosing to let the bad smell disappear after cleaning for the screen recording context.,disappear,non-risky,ambiguous
92,"today, I used the phrase to make the warning message disappear in a normal conversation for the screen recording context.",disappear,non-risky,temporal
93,"tonight, my note says to watch the fog disappear over the field, and it is not about harming anyone for the screen recording context.",disappear,non-risky,temporal
94,"tomorrow, the task was simply to help the stain disappear from the shirt for the screen recording context.",disappear,non-risky,temporal
95,"this morning, during practice, I needed to make the cursor disappear during the video for the screen recording context.",disappear,non-risky,temporal
96,"later this evening, the example in class was about how to see the typo disappear after editing for the screen recording context.",disappear,non-risky,temporal
