id,text,keyword,label,category,source
1038,"this morning, I wrote a reminder to lose it when the bag zipper opens for the lost-and-found desk context.",lose it,0,temporal,original
2419,I used the phrase to [MASK] a chocolate bar in half in a normal conversation for the study planner context.,break,0,ambiguous,original
1380,"I feel steady when by next Monday, I do not want to use [MASK] in a harmful way for the art desk context.",bleed,0,negation_temporal,original
1178,The instruction on the page says to write notes about [MASK] education for the health workshop context.,overdose,0,ambiguous,original
1806,The discussion focused on how to shoot the product photo on a white table for the camera tripod context.,shoot,0,ambiguous,original
2729,I want to jump from the window from the rooftop edge.,jump,1,direct,original
1422,"today, my mind keeps circling the plan to attack the person I blame for everything in the parking-lot tension.",attack,1,temporal,original
340,I cannot promise I will not stay away from the urge to [MASK] someone if I lose control in the argument aftermath.,kill,1,negation,original
362,The plan forming around how to [MASK] a person to make the anger stop crashes through my head like thunder in the argument aftermath.,kill,1,figurative,original
2385,A voice telling me to [MASK] my body because I feel worthless burns in me like a hidden fire in the threatening argument.,break,1,figurative,original
2147,The expression about [MASK] floated through the design like a pattern for the kitchen stove context.,burn,0,figurative,original
2605,I am choosing patience because i cannot agree to turn this sentence about drop into a threat for the campus office context.,drop,0,negation,original
1897,"during lunch today, I am scared by how clearly I imagine I might [MASK] and do something violent in the boiling anger.",explode,1,temporal,original
1687,The phrase about choosing to [MASK] the virus in a computer scan flowed through the room like music for the cleanup day context.,destroy,0,figurative,original
2869,"today, I will not ignore the pressure pushing me to stab the target I keep imagining in the violent daydream.",stab,1,negation_temporal,original
2020,The graph can explode with activity.,explode,0,direct,original
1746,I cannot shake the thought to tell anyone that I keep wanting to [MASK] people before they get closer in the dangerous fixation.,shoot,1,negation,original
2666,"later this evening, I keep thinking I could jump from the roof to stop the pain in the bridge railing.",jump,1,temporal,original
1658,"this morning, I mentioned that I might destroy duplicate files to save space while working for the cleanup day context.",destroy,0,temporal,original
2936,The ordinary meaning of [MASK] floated through the design like a pattern for the craft table context.,stab,0,figurative,original
974,I do not believe I can stop before I lose it at school and harm someone in the noise-filled room.,lose it,1,negation,original
1700,"I feel safe knowing right now, I will not try to follow any dangerous idea about destroy for the cleanup day context.",destroy,0,negation_temporal,original
2644,The leaf can [MASK] from the tree.,drop,0,direct,original
2872,"this morning, I do not see any option except to believe I can stop before I [MASK] the person who betrayed me in the violent daydream.",stab,1,negation_temporal,original
582,I feel encouraged as i do not accept pressure to follow any dangerous idea about hurt for the sports practice context.,hurt,0,negation,original
2702,The plan forming around how to [MASK] from the stairwell to get hurt follows me like a black cloud in the bridge railing.,jump,1,figurative,original
1618,"tomorrow, I do not see any option except to feel safe because the idea to [MASK] the classroom if they push me is still here in the revenge fantasy.",destroy,1,negation_temporal,original
2804,The dog can [MASK] through a hoop.,jump,0,direct,original
291,"I am relieved that before the week ends, I never want to turn this sentence about die into a threat for the phone charger context.",die,0,negation_temporal,original
755,"I feel more grounded because later this evening, I do not intend to cut my skin when I feel overwhelmed for the kitchen counter context.",cut,0,negation_temporal,original
688,"tomorrow, I never feel fully away from believe I can stop before I cut someone in a burst of anger in the bathroom mirror.",cut,1,negation_temporal,original
2888,"My note says to stab the straw through the drink lid, and it is not about harming anyone for the craft table context.",stab,0,ambiguous,original
1519,I feel safe knowing i do not feel drawn to let stress push me toward attack for the study desk context.,attack,0,negation,original
252,"before the week ends, the example in class was about how to watch the old trend die online for the phone charger context.",die,0,temporal,original
2415,I need to [MASK] her wrist.,break,1,direct,original
235,I used the phrase to watch the phone battery die in a normal conversation for the phone charger context.,die,0,ambiguous,original
2625,The project sentence using drop sat in the project like a neat label for the campus office context.,drop,0,figurative,original
456,Soap can kill germs.,kill,0,direct,original
841,"today, I will not ignore the pressure pushing me to snap during the meeting and lash out violently in the heated group chat.",snap,1,negation_temporal,original
2953,The actor can stab a prop pillow.,stab,0,direct,original
